"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1840521833109701023","Sun Sep 29 22:39:34 +0000 2024","0","Kl ky gini msh wajar ada zonasi lah disini sok-sok an pke sistem zonasi pdhl kualitas antar sklh itu beda minimal nih ya sblm zonasi itu perbaiki dulu kualitas sklhnya biar sama rata ","1840521833109701023","","","in","","0","0","0","https://x.com/amorsweetimpact/status/1840521833109701023","915557263321923584","amorsweetimpact"
"1840179063421554953","Sun Sep 29 21:44:02 +0000 2024","0","@flvneur Jaman aku jg gak ada tp bbrp waktu yg lalu pas sistem zonasi itu katanya ada jemputan dr sekolah gt. Ntah inisiatif sekolahnya ato program pemerintah.","1840507854090117224","","flvneur","in","concert hall","0","0","0","https://x.com/thismayoonice/status/1840507854090117224","1169487848195538944","thismayoonice"
"1840378393977892945","Sun Sep 29 13:09:37 +0000 2024","2","in my hometown banyak yang dukung mulyono. but at the same time mereka juga ngeluh apa-apa naik atau salah satunya juga sistem zonasi yang aku sebut. padahal yang mereka keluhkan juga produk dari kebijakan pemerintah.","1840378397626953900","","tensorflov","in","Tangerang, Banten, Indonesia","0","0","1","https://x.com/tensorflov/status/1840378397626953900","130434068","tensorflov"
"1840378393977892945","Sun Sep 29 13:09:36 +0000 2024","9","imo kalau tanya langsung ya mereka ga akan nyadar. taunya oh bikin ikn berarti bagus trus dikirimin bansos. padahal pajak mau naik tapera ukt naik etc etc coba tanya hal direct &amp; simpe ke orang tua sistem zonasi nyusahin ya? langsung tuh keluar uneg uneg terpendam ","1840378393977892945","","","in","Tangerang, Banten, Indonesia","0","1","1","https://x.com/tensorflov/status/1840378393977892945","130434068","tensorflov"
"1840326125152834024","Sun Sep 29 09:41:54 +0000 2024","0","Kl dibilang apakah aku korban secara langsung mungkin bukan krn suami aku masih kerja bisa mencukupi. Tp aku tau bnyk bgt orang terdampak sistem zonasi sekolah terdampak kurikulum merdeka dan kebijakan2 mengenai UKT. Dan kl soal pendidikan aku ga bs diem aja.","1840326125152834024","","","in","","0","1","0","https://x.com/Minerva_np/status/1840326125152834024","1785067382861615104","Minerva_np"
"1839971131350241514","Sun Sep 29 09:31:21 +0000 2024","0","@FaktaSepakbola Tapi ga fair menurutku. Karena talenta di ambil dari klub yg berlaga di liga 1. Harusnya ambil semua klub dari level amatir ke liga 1. Buat sistem zonasi. Dari tingkat kecamatan kabupaten dan provinsi","1840323471475347617","","FaktaSepakbola","in","Balikpapan, Kalimantan Timur","0","1","0","https://x.com/edimulyanto24/status/1840323471475347617","922872696","edimulyanto24"
"1840313104154161297","Sun Sep 29 08:50:10 +0000 2024","0","+ gausah ada sistem zonasi gak sih? biar tetep berlomba² buat masuk sekolah favorit . ","1840313104154161297","","","in","Bumi","0","0","0","https://x.com/February_Ends/status/1840313104154161297","1241369287","February_Ends"
"1839885376975999318","Sun Sep 29 07:26:40 +0000 2024","0","@madHink Kalau semua sekolah negri di indo macam begini sistem zonasi pun ga masalah dah","1840292091093783038","","madHink","in","Kota Bandung, Jawa Barat","0","0","0","https://x.com/sadiyyahsiti/status/1840292091093783038","478611912","sadiyyahsiti"
"1839723201615843803","Sun Sep 29 06:06:12 +0000 2024","0","@afcdevan @CitraModar Dikira nyari label bisa pake sistem zonasi co?","1840271844177535038","","afcdevan","in","Nanti aku shareloc aja","0","0","0","https://x.com/jaIjinesoyomodu/status/1840271844177535038","2496102402","jaIjinesoyomodu"
"1839885376975999318","Sun Sep 29 05:27:55 +0000 2024","0","@madHink Kalau standard sekolah semua seperti ini baru cocok sistem zonasi ","1840262209097843112","","madHink","in","","0","0","0","https://x.com/de_kopplak/status/1840262209097843112","335368430","de_kopplak"
