"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1815225195835310245","Tue Jul 30 22:55:24 +0000 2024","0","@detik_edu Praktek manipulasi ini sebenarnya bukan hanya di ppdb (sejak zonasi) ada juga saat seleksi masuk universitas jalur rapor. Pemerintah @Kemdikbud_RI harus membuat sistem agar nilai siswa seluruh Indonesia terintegrasi dan murni tanpa kecurangan saat pengiputan.","1818420156391211345","","detik_edu","in","","0","0","0","https://x.com/PakGhie/status/1818420156391211345","512737310","PakGhie"
"1818339138426618133","Tue Jul 30 18:02:21 +0000 2024","0","@glazezr klo sistem zonasi gabakal keterima juga si wkwkw mending binus ga mikirin zonasi yg kegeser ","1818346407662960642","","glazezr","in","","0","1","0","https://x.com/Kamoesiapa_/status/1818346407662960642","1140262465080459264","Kamoesiapa_"
"1818151738215637234","Tue Jul 30 15:56:11 +0000 2024","0","@DepreschoolBoy UNJ plis Adain sistem zonasi kek PTN","1818314657058464176","","DepreschoolBoy","in","di mana aja boleh ","0","0","0","https://x.com/UGMloveu/status/1818314657058464176","1742742484223160320","UGMloveu"
"1818151738215637234","Tue Jul 30 15:47:37 +0000 2024","0","@DepreschoolBoy ga kuliah keknya kalo sistem zonasi","1818312501840462011","","DepreschoolBoy","in","magic shop","0","0","0","https://x.com/innerchil95_/status/1818312501840462011","1391696026512158722","innerchil95_"
"1818000187316433176","Tue Jul 30 15:04:13 +0000 2024","0","@kaderhijaumu Bapak zonasi Indonesia akan terapkan sistem zonasi dalam pertambangan","1818301580862742788","","kaderhijaumu","in","","0","0","0","https://x.com/SarnoBejo/status/1818301580862742788","1576872529355866113","SarnoBejo"
"1818237184723591231","Tue Jul 30 14:32:46 +0000 2024","1","@SeruniPuspaAlam Mau merdeka belajar tetapi ada sistem ZONASI.. Emang sangat Menghajirkan.","1818293665720148168","","SeruniPuspaAlam","in","Indonesia","0","0","0","https://x.com/mbahGandalf/status/1818293665720148168","1964748001","mbahGandalf"
"1818259470490992866","Tue Jul 30 12:16:54 +0000 2024","0","tolong bgt hal hal yg menyangkut ppdb sistem zonasi gausa lewat tl gue bs gk","1818259470490992866","","","in","981.03 ; 🪐– 私は性交を与えません.","0","0","0","https://x.com/strwberriies_/status/1818259470490992866","1480798893428199424","strwberriies_"
"1818151738215637234","Tue Jul 30 12:11:13 +0000 2024","0","@DepreschoolBoy gausa zonasi zonasi anjinggg gua dapet smk gr gr sistem zonasi itu ajggg. nanti klo kuliah ada sistem zonasi gua ga sekolaaa anjingggg","1818258041474814173","","DepreschoolBoy","in","981.03 ; 🪐– 私は性交を与えません.","0","0","0","https://x.com/strwberriies_/status/1818258041474814173","1480798893428199424","strwberriies_"
"1817459669776154748","Tue Jul 30 10:07:25 +0000 2024","0","@bloodruby28 @nathansatw hi kak! dari pendapatku harusnya pemerintah bisa nyari solusi buat ngatasin kurang dana sih faktor murid swasta IMO juga karena sistem sekolah negri sekarang (zonasi gonta-ganti kurikulum sistem peringkat banyak di hapusin beberapa sekolah dan lainnya) bahkan jujur aja ","1818226884964155622","","bloodruby28","in","","0","1","0","https://x.com/saltcaramelmilk/status/1818226884964155622","1497160370724929542","saltcaramelmilk"
"1818105521570037869","Tue Jul 30 02:05:09 +0000 2024","0","Cagub Jabar Bima Arya Setuju Sistem Zonasi Dihilangkan di PPDB https://t.co/e5eShvXscr","1818105521570037869","","","in","Jawa Barat, Indonesia","0","0","1","https://x.com/IDNTimesJabar/status/1818105521570037869","1318853792893300737","IDNTimesJabar"
